地名,センター,可燃ごみ,不燃・ペット,びん缶・紙布類
上法軍寺/全域,クリーンセンター,月 木,水,金
中央,クリーンセンター,月 木,水,金
西尾,クリーンセンター,月 木,水,金
日吉,クリーンセンター,月 木,水,金
寺井,クリーンセンター,月 木,水,金
名団地,クリーンセンター,月 木,水,金
マリオン団地,クリーンセンター,月 木,水,金
名原,クリーンセンター,月 木,水,金
原川南,クリーンセンター,月 木,水,金
中央団地,クリーンセンター,月 木,水,金
消防署東,クリーンセンター,月 木,水,金
島田南ハイツ,クリーンセンター,月 木,水,金
サンタウン南,クリーンセンター,月 木,水,金
ＦＴ飯山ＩＩ,クリーンセンター,月 木,水,金
東小川/全域,クリーンセンター,月 木,水,金
下川原,クリーンセンター,月 木,水,金
光団地,クリーンセンター,月 木,水,金
瀬戸飯山川原,クリーンセンター,月 木,水,金
久保,クリーンセンター,月 木,水,金
久米氏,クリーンセンター,月 木,水,金
一理塚,クリーンセンター,月 木,水,金
峰道,クリーンセンター,月 木,水,金
鋳物師原,クリーンセンター,月 木,水,金
青石,クリーンセンター,月 木,水,金
河内,クリーンセンター,月 木,水,金
三谷西,クリーンセンター,月 木,水,金
三谷中,クリーンセンター,月 木,水,金
三谷東,クリーンセンター,月 木,水,金
割古,クリーンセンター,月 木,水,金
姿谷,クリーンセンター,月 木,水,金
飛石,クリーンセンター,月 木,水,金
城山,クリーンセンター,月 木,水,金
ふじみ園,クリーンセンター,月 木,水,金
三谷団地,クリーンセンター,月 木,水,金
三谷北,クリーンセンター,月 木,水,金
桃心会,クリーンセンター,月 木,水,金
亀山団地,クリーンセンター,月 木,水,金
あけみ,クリーンセンター,月 木,水,金
鋳物師原西,クリーンセンター,月 木,水,金
一里塚西,クリーンセンター,月 木,水,金
飯山ニュータウン,クリーンセンター,月 木,水,金
久米氏西,クリーンセンター,月 木,水,金
峰道西,クリーンセンター,月 木,水,金
久保中,クリーンセンター,月 木,水,金
三谷南,クリーンセンター,月 木,水,金
木谷団地,クリーンセンター,月 木,水,金
飯山グリーンタウン,クリーンセンター,月 木,水,金
あざみ,クリーンセンター,月 木,水,金
緑ヶ丘団地,クリーンセンター,月 木,水,金
あおぞら,クリーンセンター,月 木,水,金
桃の里団地,クリーンセンター,月 木,水,金
永和団地,クリーンセンター,月 木,水,金
三谷西グリーンハイツ,クリーンセンター,月 木,水,金
前池,クリーンセンター,月 木,水,金
桃花台,クリーンセンター,月 木,水,金
ひまわり団地,クリーンセンター,月 木,水,金
久保南ハイツ,クリーンセンター,月 木,水,金
富士ミサワ,クリーンセンター,月 木,水,金
小久保,クリーンセンター,月 木,水,金
県営団地,クリーンセンター,月 木,水,金
北久保,クリーンセンター,月 木,水,金
北久保大倉,クリーンセンター,月 木,水,金
クリスタルガーデン飯山東坂元,クリーンセンター,月 木,水,金
岡下所,クリーンセンター,月 木,水,火
島田,クリーンセンター,月 木,水,火
共進,クリーンセンター,月 木,水,火
原川,クリーンセンター,月 木,水,火
島田ミサワ,クリーンセンター,月 木,水,火
ネオハイツ飯山,クリーンセンター,月 木,水,火
オークラ,クリーンセンター,月 木,水,火
島田中部,クリーンセンター,月 木,水,火
皐月,クリーンセンター,月 木,水,火
桃山台,クリーンセンター,月 木,水,火
飯山南タウン,クリーンセンター,月 木,水,火
島田北自治会,クリーンセンター,月 木,水,火
東小川,クリーンセンター,月 木,水,火
前場団地,クリーンセンター,月 木,水,火
飯山南団地,クリーンセンター,月 木,水,火
中央団地,クリーンセンター,月 木,水,火
樋の口,クリーンセンター,月 木,水,火
西坂元,クリーンセンター,月 木,水,火
真時/全域,クリーンセンター,月 木,水,火
川原/全域,クリーンセンター,月 木,水,火
北岡,クリーンセンター,月 木,水,火
三の池,クリーンセンター,月 木,水,火
川重飯山社宅,クリーンセンター,月 木,水,火
麓東ハイツ,クリーンセンター,月 木,水,火
三の池団地,クリーンセンター,月 木,水,火
秋常ハイツ,クリーンセンター,月 木,水,火
北上北岡,クリーンセンター,月 木,水,火
坂本団地,クリーンセンター,月 木,水,火
岡崎石材東,クリーンセンター,月 木,水,火
サンタウン東坂本,クリーンセンター,月 木,水,火
シームレス住宅,クリーンセンター,月 木,水,火
コーポ大林,クリーンセンター,月 木,水,火
タンポポ団地,クリーンセンター,月 木,水,火
クリスタル飯山,クリーンセンター,月 木,水,火
グリーンコート飯山,クリーンセンター,月 木,水,火
ココモ,クリーンセンター,月 木,水,火
ときの里飯山,クリーンセンター,月 木,水,火
